game_id,quarter,p_hat,y
2023_09_BUF_CIN,1,0.26666666666666666,1.0
2023_09_BUF_CIN,2,0.36666666666666664,1.0
2023_09_BUF_CIN,3,0.7,1.0
2023_09_BUF_CIN,4,0.6333333333333333,1.0
2023_10_ATL_ARI,1,0.2833333333333333,1.0
2023_10_ATL_ARI,2,0.3333333333333333,1.0
2023_10_ATL_ARI,3,0.3,1.0
2023_10_ATL_ARI,4,0.6166666666666667,1.0
2023_10_TEN_TB,1,0.7666666666666667,0.0
2023_10_TEN_TB,2,0.9,0.0
2023_10_TEN_TB,3,0.5166666666666667,0.0
2023_10_TEN_TB,4,0.11666666666666667,0.0
2023_11_CHI_DET,1,0.3,0.0
2023_11_CHI_DET,2,0.6166666666666667,0.0
2023_11_CHI_DET,3,0.15,0.0
2023_11_CHI_DET,4,0.75,0.0
2023_12_BAL_LAC,1,0.36666666666666664,0.0
2023_12_BAL_LAC,2,0.36666666666666664,0.0
2023_12_BAL_LAC,3,0.16666666666666666,0.0
2023_12_BAL_LAC,4,0.13333333333333333,0.0
2023_12_NO_ATL,1,0.45,0.0
2023_12_NO_ATL,2,0.4666666666666667,0.0
2023_12_NO_ATL,3,0.26666666666666666,0.0
2023_12_NO_ATL,4,0.38333333333333336,0.0
2023_14_MIN_LV,1,0.5833333333333334,0.0
2023_14_MIN_LV,2,0.4,0.0
2023_14_MIN_LV,3,0.5,0.0
2023_14_MIN_LV,4,0.45,0.0
2023_14_NE_PIT,1,0.7333333333333333,1.0
2023_14_NE_PIT,2,0.5833333333333334,1.0
2023_14_NE_PIT,3,0.9,1.0
2023_14_NE_PIT,4,0.8333333333333334,1.0
2023_15_HOU_TEN,1,0.31666666666666665,1.0
2023_15_HOU_TEN,2,0.18333333333333332,1.0
2023_15_HOU_TEN,3,0.11666666666666667,1.0
2023_15_HOU_TEN,4,0.23333333333333334,1.0
2023_15_NYJ_MIA,1,0.5166666666666667,1.0
2023_15_NYJ_MIA,2,0.6666666666666666,1.0
2023_15_NYJ_MIA,3,1.0,1.0
2023_15_NYJ_MIA,4,1.0,1.0
2023_15_PIT_IND,1,0.5,0.0
2023_15_PIT_IND,2,0.65,0.0
2023_15_PIT_IND,3,0.36666666666666664,0.0
2023_15_PIT_IND,4,0.08333333333333333,0.0
2023_16_ARI_CHI,1,0.38333333333333336,1.0
2023_16_ARI_CHI,2,0.6166666666666667,1.0
2023_16_ARI_CHI,3,0.8333333333333334,1.0
2023_16_ARI_CHI,4,0.95,1.0
2023_16_BAL_SF,1,0.5333333333333333,1.0
2023_16_BAL_SF,2,0.4166666666666667,1.0
2023_16_BAL_SF,3,0.7333333333333333,1.0
2023_16_BAL_SF,4,1.0,1.0
2023_16_GB_CAR,1,0.26666666666666666,0.0
2023_16_GB_CAR,2,0.13333333333333333,0.0
2023_16_GB_CAR,3,0.08333333333333333,0.0
2023_16_GB_CAR,4,0.0,0.0
2023_16_JAX_TB,1,0.45,1.0
2023_16_JAX_TB,2,0.5333333333333333,1.0
2023_16_JAX_TB,3,0.9666666666666667,1.0
2023_16_JAX_TB,4,1.0,1.0
2023_16_NE_DEN,1,0.8333333333333334,1.0
2023_16_NE_DEN,2,0.5833333333333334,1.0
2023_16_NE_DEN,3,0.5333333333333333,1.0
2023_16_NE_DEN,4,0.9833333333333333,1.0
2023_16_NO_LA,1,0.7833333333333333,0.0
2023_16_NO_LA,2,0.5166666666666667,0.0
2023_16_NO_LA,3,0.2,0.0
2023_16_NO_LA,4,0.0,0.0
2023_17_ATL_CHI,1,0.6833333333333333,0.0
2023_17_ATL_CHI,2,0.31666666666666665,0.0
2023_17_ATL_CHI,3,0.26666666666666666,0.0
2023_17_ATL_CHI,4,0.03333333333333333,0.0
2023_18_KC_LAC,1,0.5333333333333333,1.0
2023_18_KC_LAC,2,0.65,1.0
2023_18_KC_LAC,3,0.6,1.0
2023_18_KC_LAC,4,0.5,1.0
2023_19_GB_DAL,1,0.5833333333333334,1.0
2023_19_GB_DAL,2,0.9166666666666666,1.0
2023_19_GB_DAL,3,1.0,1.0
2023_19_GB_DAL,4,1.0,1.0
