game_id,quarter,p_hat,y
2023_09_WAS_NE,1,0.21666666666666667,1.0
2023_09_WAS_NE,2,0.5,1.0
2023_09_WAS_NE,3,0.08333333333333333,1.0
2023_09_WAS_NE,4,0.43333333333333335,1.0
2023_10_NYJ_LV,1,0.65,1.0
2023_10_NYJ_LV,2,0.35,1.0
2023_10_NYJ_LV,3,0.45,1.0
2023_10_NYJ_LV,4,0.7333333333333333,1.0
2023_11_SEA_LA,1,0.35,1.0
2023_11_SEA_LA,2,0.16666666666666666,1.0
2023_11_SEA_LA,3,0.21666666666666667,1.0
2023_11_SEA_LA,4,0.13333333333333333,1.0
2023_12_KC_LV,1,0.6,0.0
2023_12_KC_LV,2,0.6666666666666666,0.0
2023_12_KC_LV,3,0.5166666666666667,0.0
2023_12_KC_LV,4,0.25,0.0
2023_14_GB_NYG,1,0.8,0.0
2023_14_GB_NYG,2,0.9333333333333333,0.0
2023_14_GB_NYG,3,0.7333333333333333,0.0
2023_14_GB_NYG,4,0.25,0.0
2023_14_PHI_DAL,1,0.7666666666666667,1.0
2023_14_PHI_DAL,2,0.8833333333333333,1.0
2023_14_PHI_DAL,3,0.95,1.0
2023_14_PHI_DAL,4,0.9666666666666667,1.0
2023_15_ATL_CAR,1,0.7,0.0
2023_15_ATL_CAR,2,0.65,0.0
2023_15_ATL_CAR,3,0.6833333333333333,0.0
2023_15_ATL_CAR,4,0.7333333333333333,0.0
2023_15_DAL_BUF,1,0.65,1.0
2023_15_DAL_BUF,2,0.8333333333333334,1.0
2023_15_DAL_BUF,3,0.9666666666666667,1.0
2023_15_DAL_BUF,4,1.0,1.0
2023_15_DEN_DET,1,0.8166666666666667,1.0
2023_15_DEN_DET,2,0.75,1.0
2023_15_DEN_DET,3,1.0,1.0
2023_15_DEN_DET,4,1.0,1.0
2023_15_NYG_NO,1,0.35,0.0
2023_15_NYG_NO,2,0.3333333333333333,0.0
2023_15_NYG_NO,3,0.38333333333333336,0.0
2023_15_NYG_NO,4,0.016666666666666666,0.0
2023_15_PHI_SEA,1,0.5,0.0
2023_15_PHI_SEA,2,0.7166666666666667,0.0
2023_15_PHI_SEA,3,0.7,0.0
2023_15_PHI_SEA,4,0.7,0.0
2023_15_SF_ARI,1,0.5833333333333334,0.0
2023_15_SF_ARI,2,0.23333333333333334,0.0
2023_15_SF_ARI,3,0.3333333333333333,0.0
2023_15_SF_ARI,4,0.016666666666666666,0.0
2023_15_TB_GB,1,0.5,1.0
2023_15_TB_GB,2,0.36666666666666664,1.0
2023_15_TB_GB,3,0.48333333333333334,1.0
2023_15_TB_GB,4,0.85,1.0
2023_16_CIN_PIT,1,0.4166666666666667,0.0
2023_16_CIN_PIT,2,0.15,0.0
2023_16_CIN_PIT,3,0.0,0.0
2023_16_CIN_PIT,4,0.0,0.0
2023_17_LV_IND,1,0.4,1.0
2023_17_LV_IND,2,0.5666666666666667,1.0
2023_17_LV_IND,3,0.7666666666666667,1.0
2023_17_LV_IND,4,0.7166666666666667,1.0
2023_17_TEN_HOU,1,0.6666666666666666,0.0
2023_17_TEN_HOU,2,0.45,0.0
2023_17_TEN_HOU,3,0.016666666666666666,0.0
2023_17_TEN_HOU,4,0.016666666666666666,0.0
2023_18_LA_SF,1,0.4,0.0
2023_18_LA_SF,2,0.5333333333333333,0.0
2023_18_LA_SF,3,0.7,0.0
2023_18_LA_SF,4,0.7166666666666667,0.0
2023_18_PHI_NYG,1,0.45,1.0
2023_18_PHI_NYG,2,0.36666666666666664,1.0
2023_18_PHI_NYG,3,0.9333333333333333,1.0
2023_18_PHI_NYG,4,1.0,1.0
2023_19_PIT_BUF,1,0.48333333333333334,0.0
2023_19_PIT_BUF,2,0.15,0.0
2023_19_PIT_BUF,3,0.03333333333333333,0.0
2023_19_PIT_BUF,4,0.03333333333333333,0.0
2023_20_TB_DET,1,0.5,1.0
2023_20_TB_DET,2,0.4666666666666667,1.0
2023_20_TB_DET,3,0.5,1.0
2023_20_TB_DET,4,0.5666666666666667,1.0
